evaluation,ROC-AUC,PR-AUC,Brier-Score,Test_Days,Train_Days
full_history_split,0.7551218161683279,0.24478126075965914,0.06637580808860462,730,3645
recent_era_split_2022plus,0.6764401963316972,0.2947229248617225,0.15695839847271262,730,730
